date,employeeid,gender,age,ethnicgroup,fp,termdate,isnnewhire,bu,hiredate,paytypeid,termreason,agegroupid,tenuredays,tenuremonths,badhire
2023-12-31,1,2,22,N,C,,0,IT,2023-02-12,2,,1,321,10,0
2023-12-31,2,2,29,W,F,2023-10-25,0,Marketing,2023-03-14,2,4,2,225,7,0
2023-12-31,3,1,48,W,P,,0,Customer Support,2023-02-18,2,,4,315,10,0
2023-12-31,4,1,33,A,F,,0,Marketing,2023-06-08,2,,2,205,6,0
2023-12-31,5,1,32,H,F,,0,Marketing 3,2023-03-09,4,,2,296,9,0
2023-12-31,6,1,20,O,F,,0,Sales,2020-11-06,4,,1,1149,37,0
2023-12-31,7,1,25,N,F,,0,Operations 2,2019-09-14,4,,2,1568,51,0
2023-12-31,8,2,23,A,F,,0,IT 2,2021-04-26,2,,1,978,32,0
2023-12-31,9,1,45,A,I,,0,IT 3,2020-09-30,1,,4,1186,38,0
2023-12-31,10,2,37,A,F,,0,Marketing 2,2023-02-12,5,,3,321,10,0
2023-12-31,11,1,53,O,P,,0,Finance,2020-04-11,2,,4,1358,44,0
2023-12-31,12,1,35,W,C,,0,Customer Support 2,2023-03-14,5,,3,291,9,0
2023-12-31,13,1,34,H,F,,0,IT 4,2023-07-03,2,,2,180,5,0
2023-12-31,14,2,45,W,F,2022-01-15,0,Sales 4,2021-10-08,3,1,4,98,3,0
2023-12-31,15,1,42,W,C,2022-12-19,0,Finance,2022-12-05,2,6,3,13,0,1
2023-12-31,16,2,46,W,F,2023-12-06,1,Sales 2,2023-12-04,1,1,4,2,0,1
2023-12-31,17,4,29,W,F,2023-03-15,0,Legal,2022-08-02,1,2,2,225,7,0
2023-12-31,18,1,35,W,F,,1,Legal 2,2023-12-29,5,,3,1,0,0
2023-12-31,19,1,50,W,F,2018-02-12,0,Sales 3,2018-01-01,2,6,4,42,1,1
2023-12-31,20,1,33,W,F,,0,Operations 2,2022-07-16,1,,2,532,17,0
2023-12-31,21,2,42,W,F,,1,Legal 2,2023-10-29,1,,3,62,2,0
2023-12-31,22,1,41,W,T,,0,Legal 2,2020-04-25,5,,3,1344,44,0
2023-12-31,23,2,26,B,F,,0,R&D,2020-04-17,2,,2,1352,44,0
2023-12-31,24,1,63,A,F,,0,Marketing 2,2021-02-04,2,,5,1059,34,0
2023-12-31,25,1,55,W,F,,0,Marketing 2,2023-01-14,2,,5,350,11,0
2023-12-31,26,2,51,W,F,,0,IT 3,2021-10-06,2,,4,815,26,0
2023-12-31,27,2,27,A,C,,0,Sales 3,2021-09-23,2,,2,828,27,0
2023-12-31,28,1,41,W,C,,0,IT 3,2023-08-28,2,,3,124,4,0
2023-12-31,29,1,44,B,C,,0,Legal 3,2022-04-30,2,,3,609,20,0
2023-12-31,30,2,24,W,C,,0,Sales 2,2023-04-28,2,,1,246,8,0
2023-12-31,31,1,63,W,F,,1,Sales 3,2023-10-04,3,,5,87,2,0
