date,employeeid,gender,age,ethnicgroup,fp,termdate,isnnewhire,bu,hiredate,paytypeid,termreason,agegroupid,tenuredays,tenuremonths,badhire
2023-12-31,1,3,30,A,C,,0,IT,2020-09-09,2,,2,1208,39,0
2023-12-31,2,1,32,B,I,,0,R&D 2,2018-01-02,4,,2,2189,71,0
2023-12-31,3,2,23,T,P,,0,Finance 2,2020-07-03,3,,1,1276,41,0
2023-12-31,4,1,51,N,C,2023-02-09,0,IT,2019-12-03,4,6,4,1164,38,0
2023-12-31,5,2,42,A,C,,0,Sales 3,2020-11-23,4,,3,1133,37,0
2023-12-31,6,2,29,T,P,,0,Customer Support,2023-09-07,3,,2,115,3,0
2023-12-31,7,2,46,H,C,,0,Finance,2019-12-02,2,,4,1490,48,0
2023-12-31,8,3,38,H,P,,0,Sales 2,2022-02-20,2,,3,679,22,0
2023-12-31,9,2,27,W,I,,1,R&D,2023-11-16,1,,2,45,1,0
2023-12-31,10,2,63,T,C,2020-07-21,0,Finance 3,2019-06-08,1,3,5,409,13,0
2023-12-31,11,3,60,N,C,,0,IT 2,2019-04-20,2,,5,1716,56,0
2023-12-31,12,2,49,T,I,2023-01-30,0,Finance 3,2022-06-10,4,5,4,234,7,0
2023-12-31,13,1,28,T,I,,0,Operations,2021-03-06,3,,2,1030,33,0
2023-12-31,14,1,56,A,C,,0,Sales 2,2020-11-20,4,,5,1136,37,0
2023-12-31,15,1,36,N,C,,0,Marketing,2021-09-19,1,,3,833,27,0
2023-12-31,16,2,47,T,C,,0,Customer Support,2021-08-09,4,,4,874,28,0
2023-12-31,17,3,46,A,P,2023-05-31,0,HR,2022-01-16,4,6,4,500,16,0
2023-12-31,18,3,25,O,P,,0,HR,2020-05-15,1,,2,1325,43,0
2023-12-31,19,2,23,W,I,,0,IT 2,2018-05-09,4,,1,2062,67,0
2023-12-31,20,1,31,N,F,,0,Sales,2019-01-12,4,,2,1814,59,0
2023-12-31,21,2,42,O,F,,0,IT,2019-05-01,3,,3,1705,56,0
2023-12-31,22,3,27,T,C,,0,IT 2,2022-01-16,3,,2,714,23,0
2023-12-31,23,1,46,O,C,2022-09-20,0,HR,2018-06-07,1,6,4,1566,51,0
2023-12-31,24,2,24,O,I,2021-03-10,0,IT,2019-05-08,1,4,1,672,22,0
2023-12-31,25,1,54,T,P,,0,HR,2022-07-10,1,,4,539,17,0
2023-12-31,26,2,59,A,F,,0,IT 2,2022-09-03,3,,5,484,15,0
2023-12-31,27,1,24,B,F,,0,Marketing,2020-05-03,2,,1,1337,43,0
2023-12-31,28,2,47,A,I,,0,Marketing 2,2020-02-15,1,,4,1415,46,0
2023-12-31,29,3,42,B,I,,0,IT 2,2018-03-18,1,,3,2114,69,0
2023-12-31,30,1,42,A,F,,0,Operations,2022-03-08,2,,3,663,21,0
2023-12-31,31,2,48,O,F,,0,Customer Support,2020-12-01,1,,4,1125,36,0
2023-12-31,32,1,62,O,C,2022-11-24,0,Finance 2,2021-02-02,4,8,5,660,21,0
2023-12-31,33,2,46,B,F,,0,Sales 2,2023-05-18,1,,4,227,7,0
2023-12-31,34,1,20,O,C,,0,HR 2,2023-03-13,1,,1,293,9,0
2023-12-31,35,1,59,B,P,,0,Finance,2021-07-04,4,,5,910,29,0
2023-12-31,36,3,53,H,F,,0,Finance 2,2019-10-11,3,,4,1542,50,0
2023-12-31,37,3,65,N,C,,1,IT,2023-12-11,1,,5,20,0,0
2023-12-31,38,3,47,A,I,,0,Sales 2,2018-06-30,2,,4,2010,66,0
2023-12-31,39,2,61,O,F,,0,HR,2019-02-25,3,,5,1770,58,0
2023-12-31,40,1,54,H,I,,0,Sales 2,2019-12-07,1,,4,1485,48,0
2023-12-31,41,1,29,T,F,,0,Sales 2,2019-12-23,3,,2,1469,48,0
2023-12-31,42,2,20,B,I,,0,Sales,2019-09-12,2,,1,1571,51,0
2023-12-31,43,2,57,B,F,,0,Marketing,2020-02-24,2,,5,1406,46,0
2023-12-31,44,1,37,N,P,2022-09-02,0,Sales,2022-06-26,3,8,3,68,2,1
2023-12-31,45,2,57,N,C,,0,Sales,2022-02-22,4,,5,677,22,0
2023-12-31,46,2,36,N,P,,0,Sales 3,2020-08-31,2,,3,1217,39,0
2023-12-31,47,2,27,W,P,,0,Sales,2022-02-15,4,,2,684,22,0
2023-12-31,48,1,29,B,P,,0,HR 2,2020-10-03,3,,2,1184,38,0
2023-12-31,49,3,23,B,C,,0,Sales 3,2020-03-13,3,,1,1388,45,0
2023-12-31,50,3,63,A,I,,0,HR,2020-01-18,4,,5,1443,47,0
2023-12-31,51,1,27,W,C,,0,Sales 2,2022-11-21,1,,2,405,13,0
2023-12-31,52,3,26,W,I,,1,Sales 2,2023-12-07,1,,2,24,0,0
2023-12-31,53,1,23,A,C,,0,Finance 2,2022-12-22,2,,1,374,12,0
