Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
K-12607,4775,-1245,8,Groceries,Cereals,M-Pesa
K-12607,47690,-4194,6,Furniture,Living Room,Credit Card
K-12607,15166,1635,8,Clothing,Accessories,M-Pesa
K-12607,5843,887,10,Groceries,Household,M-Pesa
K-45360,5653,-1218,1,Electronics,Accessories,Bank Transfer
K-45360,2263,-160,5,Groceries,Fresh Produce,Bank Transfer
K-94129,15813,66,2,Furniture,Bedroom,M-Pesa
K-94129,4530,-1358,1,Electronics,Accessories,Cash on Delivery
K-86351,5091,-684,3,Clothing,Sportswear,Credit Card
K-86351,2988,-24,3,Beauty,Fragrances,Credit Card
K-86351,47639,3003,6,Furniture,Bedroom,Cash on Delivery
K-86351,1732,177,1,Clothing,Sportswear,Airtel Money
K-11516,4547,913,8,Groceries,Cereals,Airtel Money
K-31927,27311,827,3,Furniture,Kitchen,M-Pesa
K-31927,4476,-479,8,Groceries,Beverages,Credit Card
K-31927,22861,2418,3,Furniture,Living Room,M-Pesa
K-31927,15976,4550,3,Electronics,TVs,Cash on Delivery
K-45810,2297,-165,4,Groceries,Household,Airtel Money
K-45810,14381,3761,7,Clothing,Traditional Wear,Cash on Delivery
K-22181,3834,1076,7,Groceries,Snacks,Airtel Money
K-22181,42911,14410,8,Electronics,Accessories,Airtel Money
K-22181,2229,-96,4,Groceries,Beverages,Cash on Delivery
K-22181,4594,-777,9,Groceries,Snacks,Cash on Delivery
K-22181,52981,-3908,8,Furniture,Living Room,Credit Card
K-75983,13957,-2310,3,Electronics,Mobile Phones,Bank Transfer
K-75983,16371,4514,10,Clothing,Formal Wear,Airtel Money
K-37437,4464,1437,2,Clothing,Sportswear,Credit Card
K-37437,6056,1929,6,Beauty,Makeup,Airtel Money
K-65524,2662,-4,5,Groceries,Fresh Produce,M-Pesa
K-65524,52865,-3365,7,Furniture,Outdoor,Credit Card
K-65524,35797,15,6,Electronics,Mobile Phones,Airtel Money
K-65524,47344,697,10,Electronics,Mobile Phones,M-Pesa
K-65524,10389,-1254,10,Beauty,Makeup,Airtel Money
K-52424,4919,-653,1,Electronics,Laptops,Airtel Money
K-52424,5142,-74,10,Groceries,Fresh Produce,Airtel Money
K-21286,23562,2030,10,Clothing,Sportswear,Cash on Delivery
K-21286,46523,-832,5,Furniture,Outdoor,Airtel Money
K-21286,2787,1036,6,Groceries,Beverages,Airtel Money
K-21286,4203,-351,10,Groceries,Beverages,Bank Transfer
K-31127,18147,4840,4,Electronics,Appliances,Cash on Delivery
K-75022,13598,501,6,Clothing,Sportswear,Bank Transfer
K-75022,4127,902,7,Groceries,Fresh Produce,Airtel Money
K-75022,10141,2002,6,Clothing,Casual Wear,M-Pesa
K-13235,3106,546,3,Beauty,Skincare,M-Pesa
K-13235,82175,20473,9,Furniture,Kitchen,M-Pesa
K-13235,49839,-431,6,Furniture,Office,Bank Transfer
K-31058,2160,734,1,Clothing,Traditional Wear,M-Pesa
K-31058,2937,-783,7,Groceries,Fresh Produce,M-Pesa
K-62128,12919,-2401,6,Clothing,Formal Wear,M-Pesa
K-62128,6656,1605,3,Clothing,Formal Wear,Bank Transfer
K-62128,32627,3133,8,Electronics,Appliances,Airtel Money
K-93739,9212,832,8,Beauty,Makeup,Credit Card
K-93739,61170,20689,9,Furniture,Bedroom,Bank Transfer
K-93739,5525,-490,5,Beauty,Skincare,Cash on Delivery
K-93739,2380,-301,4,Groceries,Snacks,Bank Transfer
K-93739,61205,20417,9,Furniture,Kitchen,Credit Card
K-85984,9982,2637,2,Electronics,Accessories,Airtel Money
K-46532,4682,1221,2,Clothing,Sportswear,Credit Card
K-46532,58983,-15337,9,Furniture,Kitchen,Airtel Money
K-46532,2860,917,6,Groceries,Beverages,M-Pesa
K-46532,19355,3062,10,Clothing,Sportswear,Airtel Money
K-12405,9494,2286,4,Clothing,Casual Wear,M-Pesa
K-12405,75834,-8712,10,Furniture,Outdoor,Cash on Delivery
K-12405,8573,-1234,4,Clothing,Formal Wear,Credit Card
K-43671,47457,-7631,5,Furniture,Living Room,Airtel Money
K-43671,19162,-392,9,Clothing,Sportswear,M-Pesa
K-43671,9036,2150,9,Beauty,Personal Care,Bank Transfer
K-47711,57171,-16029,6,Furniture,Office,Cash on Delivery
K-47711,3566,-150,6,Groceries,Fresh Produce,M-Pesa
K-85085,9237,-54,4,Clothing,Formal Wear,Airtel Money
K-85085,6322,-1210,6,Beauty,Haircare,M-Pesa
K-85085,6426,-1758,6,Beauty,Haircare,Cash on Delivery
K-85085,13615,-194,2,Furniture,Outdoor,Bank Transfer
K-54295,2659,216,3,Beauty,Skincare,Bank Transfer
K-54295,3135,-510,3,Beauty,Haircare,Cash on Delivery
K-54295,2253,209,1,Clothing,Formal Wear,Bank Transfer
K-54295,932,-264,1,Beauty,Haircare,Bank Transfer
K-18392,10004,-1123,9,Beauty,Haircare,Bank Transfer
K-97264,11098,3194,2,Electronics,Laptops,Credit Card
K-97264,9216,401,2,Electronics,Accessories,M-Pesa
K-51639,8260,189,1,Furniture,Bedroom,M-Pesa
K-51639,19306,-5078,10,Clothing,Casual Wear,Bank Transfer
K-51639,28532,-6690,6,Electronics,Laptops,Bank Transfer
K-51639,4783,734,1,Electronics,Laptops,Airtel Money
K-92496,5940,-640,10,Groceries,Household,Bank Transfer
K-11014,3690,1402,9,Groceries,Cereals,Airtel Money
K-63196,1274,331,3,Groceries,Household,Bank Transfer
K-63196,44019,9176,8,Electronics,Accessories,Credit Card
K-23331,16846,-275,10,Clothing,Traditional Wear,M-Pesa
K-23331,8273,3068,5,Clothing,Accessories,Credit Card
K-23331,8914,3459,5,Clothing,Accessories,M-Pesa
K-94091,9486,87,9,Beauty,Fragrances,Bank Transfer
K-94091,8549,20,9,Beauty,Personal Care,Airtel Money
K-94091,32976,-833,5,Furniture,Office,Airtel Money
K-94091,13577,3450,8,Clothing,Casual Wear,Cash on Delivery
K-94091,4529,1413,8,Groceries,Household,Cash on Delivery
K-89916,3881,1295,7,Groceries,Household,Airtel Money
